Date,Close
2023-02-27,487.03
2023-02-28,484.18
2023-03-01,478.67
2023-03-02,485.69
2023-03-03,475.26
2023-03-06,483.08
2023-03-07,485.15
2023-03-08,486.04
2023-03-09,479.52
2023-03-10,471.14
2023-03-13,472.0
2023-03-14,481.92
2023-03-15,485.66
2023-03-16,487.26
2023-03-17,487.05
2023-03-20,489.29
2023-03-21,490.85
2023-03-22,487.52
2023-03-23,487.76
2023-03-24,495.27
2023-03-27,493.22
2023-03-28,486.77
2023-03-29,490.87
2023-03-30,491.48
2023-03-31,496.87
2023-04-03,497.03
2023-04-04,497.73
2023-04-05,497.13
2023-04-06,485.98
2023-04-10,493.83
2023-04-11,498.65
2023-04-12,489.35
2023-04-13,497.89
2023-04-14,491.3
2023-04-17,493.94
2023-04-18,496.9
2023-04-19,496.03
2023-04-20,505.58
2023-04-21,506.35
2023-04-24,511.42
2023-04-25,503.17
2023-04-26,494.66
2023-04-27,501.27
2023-04-28,503.22
2023-05-01,493.59
2023-05-02,494.81
2023-05-03,490.06
2023-05-04,490.34
2023-05-05,499.06
2023-05-08,499.06
2023-05-09,500.79
2023-05-10,499.66
2023-05-11,501.89
2023-05-12,504.07
2023-05-15,502.04
2023-05-16,496.15
2023-05-17,495.0
2023-05-18,498.1
2023-05-19,496.52
2023-05-22,491.87
2023-05-23,484.87
2023-05-24,482.76
2023-05-25,486.55
2023-05-26,507.26
2023-05-30,508.03
2023-05-31,511.56
2023-06-01,512.6
2023-06-02,512.59
2023-06-05,518.25
2023-06-06,516.26
2023-06-07,511.23
2023-06-08,520.09
2023-06-09,517.28
2023-06-12,520.97
2023-06-13,522.02
2023-06-14,527.2
2023-06-15,529.18
2023-06-16,523.65
2023-06-20,519.7
2023-06-21,519.62
2023-06-22,524.2
2023-06-23,524.44
2023-06-26,523.42
2023-06-27,530.33
2023-06-28,532.8
2023-06-29,531.69
2023-06-30,538.38
2023-07-03,541.04
2023-07-05,541.13
2023-07-06,537.37
2023-07-07,525.05
2023-07-10,527.01
2023-07-11,529.64
2023-07-12,538.0
2023-07-13,538.45
2023-07-14,546.7
2023-07-17,552.96
2023-07-18,553.59
2023-07-19,554.11
2023-07-20,556.96
2023-07-21,557.86
2023-07-24,563.93
2023-07-25,565.19
2023-07-26,566.17
2023-07-27,561.83
2023-07-28,563.32
2023-07-31,560.67
2023-08-01,555.47
2023-08-02,552.35
2023-08-03,557.69
2023-08-04,552.04
2023-08-07,558.41
2023-08-08,556.12
2023-08-09,559.7
2023-08-10,561.49
2023-08-11,562.96
2023-08-14,561.47
2023-08-15,558.51
2023-08-16,559.05
2023-08-17,547.11
2023-08-18,544.94
2023-08-21,543.21
2023-08-22,538.37
2023-08-23,540.86
2023-08-24,531.71
2023-08-25,534.01
2023-08-28,536.19
2023-08-29,542.77
2023-08-30,542.26
2023-08-31,549.28
2023-09-01,544.25
2023-09-05,544.73
2023-09-06,546.69
2023-09-07,548.62
2023-09-08,551.19
2023-09-11,558.78
2023-09-12,558.79
2023-09-13,559.76
2023-09-14,564.77
2023-09-15,556.36
2023-09-18,562.72
2023-09-19,564.35
2023-09-20,563.83
2023-09-21,555.08
2023-09-22,558.59
2023-09-25,558.62
2023-09-26,552.96
2023-09-27,563.53
2023-09-28,568.63
2023-09-29,564.96
2023-10-02,571.31
2023-10-03,565.04
2023-10-04,571.8
2023-10-05,569.52
2023-10-06,557.53
2023-10-09,558.97
2023-10-10,562.09
2023-10-11,565.52
2023-10-12,563.78
2023-10-13,566.84
2023-10-16,572.24
2023-10-17,574.34
2023-10-18,574.64
2023-10-19,565.63
2023-10-20,552.93
2023-10-23,552.29
2023-10-24,551.84
2023-10-25,549.99
2023-10-26,547.6
2023-10-27,543.03
2023-10-30,554.88
2023-10-31,552.44
2023-11-01,556.8
2023-11-02,555.97
2023-11-03,560.9
2023-11-06,569.82
2023-11-07,571.27
2023-11-08,567.38
2023-11-09,563.27
2023-11-10,577.12
2023-11-13,578.23
2023-11-14,590.8
2023-11-15,596.78
2023-11-16,578.58
2023-11-17,577.15
2023-11-20,580.8
2023-11-21,584.3
2023-11-22,589.08
2023-11-24,591.36
2023-11-27,594.9
2023-11-28,594.0
2023-11-29,587.86
2023-11-30,592.74
2023-12-01,596.25
2023-12-04,599.08
2023-12-05,605.35
2023-12-06,607.43
2023-12-07,610.95
2023-12-08,610.78
2023-12-11,623.86
2023-12-12,629.5
2023-12-13,642.0
2023-12-14,630.78
2023-12-15,658.82
2023-12-18,681.24
2023-12-19,677.74
2023-12-20,661.0
2023-12-21,665.16
2023-12-22,671.6
2023-12-26,674.62
2023-12-27,666.8
2023-12-28,663.1
2023-12-29,660.08
2024-01-02,650.65
2024-01-03,644.69
2024-01-04,648.35
2024-01-05,656.01
2024-01-08,661.69
2024-01-09,667.18
2024-01-10,672.76
2024-01-11,673.58
2024-01-12,683.24
2024-01-16,681.49
2024-01-17,684.19
2024-01-18,687.31
2024-01-19,694.97
2024-01-22,692.51
2024-01-23,687.59
2024-01-24,686.51
2024-01-25,679.9
2024-01-26,686.88
2024-01-29,694.01
2024-01-30,700.74
2024-01-31,694.88
2024-02-01,704.48
2024-02-02,709.48
2024-02-05,711.16
2024-02-06,710.79
2024-02-07,719.78
2024-02-08,724.16
2024-02-09,723.4
2024-02-12,722.41
2024-02-13,714.25
2024-02-14,722.18
2024-02-15,724.51
2024-02-16,723.99
2024-02-20,725.69
2024-02-21,723.02
2024-02-22,734.4
2024-02-23,737.93
