Date,Close
2023-03-01,209.5
2023-03-02,208.4
2023-03-03,207.1
2023-03-06,208.06
2023-03-07,206.8
2023-03-08,203.37
2023-03-09,198.87
2023-03-10,198.4
2023-03-13,191.98
2023-03-14,194.01
2023-03-15,187.4
2023-03-16,191.86
2023-03-17,186.8
2023-03-20,189.59
2023-03-21,194.29
2023-03-22,190.04
2023-03-23,186.01
2023-03-24,186.55
2023-03-27,188.92
2023-03-28,189.56
2023-03-29,193.26
2023-03-30,193.42
2023-03-31,194.18
2023-04-03,196.68
2023-04-04,195.46
2023-04-05,195.99
2023-04-06,196.8
2023-04-10,196.03
2023-04-11,198.08
2023-04-12,199.23
2023-04-13,200.12
2023-04-14,195.78
2023-04-17,198.21
2023-04-18,201.69
2023-04-19,204.5
2023-04-20,203.96
2023-04-21,201.19
2023-04-24,200.57
2023-04-25,201.18
2023-04-26,198.37
2023-04-27,199.03
2023-04-28,201.56
2023-05-01,202.14
2023-05-02,200.5
2023-05-03,197.78
2023-05-04,195.47
2023-05-05,198.93
2023-05-08,199.66
2023-05-09,201.48
2023-05-10,200.47
2023-05-11,201.39
2023-05-12,200.27
2023-05-15,200.05
2023-05-16,199.6
2023-05-17,198.93
2023-05-18,200.64
2023-05-19,201.18
2023-05-22,198.2
2023-05-23,196.44
2023-05-24,194.07
2023-05-25,190.59
2023-05-26,190.09
2023-05-30,190.1
2023-05-31,185.8
2023-06-01,187.7
2023-06-02,192.36
2023-06-05,191.32
2023-06-06,191.62
2023-06-07,192.59
2023-06-08,191.6
2023-06-09,191.15
2023-06-12,190.55
2023-06-13,191.89
2023-06-14,188.84
2023-06-15,191.26
2023-06-16,194.94
2023-06-20,193.27
2023-06-21,193.92
2023-06-22,195.14
2023-06-23,193.24
2023-06-26,190.78
2023-06-27,189.75
2023-06-28,184.92
2023-06-29,189.1
2023-06-30,192.56
2023-07-03,192.3
2023-07-05,191.12
2023-07-06,192.21
2023-07-07,191.53
2023-07-10,188.09
2023-07-11,192.11
2023-07-12,190.28
2023-07-13,190.0
2023-07-14,188.33
2023-07-17,191.67
2023-07-18,193.0
2023-07-19,193.19
2023-07-20,199.39
2023-07-21,199.81
2023-07-24,200.54
2023-07-25,195.52
2023-07-26,205.89
2023-07-27,211.2
2023-07-28,205.98
2023-07-31,204.41
2023-08-01,203.22
2023-08-02,205.55
2023-08-03,202.9
2023-08-04,200.92
2023-08-07,203.02
2023-08-08,201.08
2023-08-09,201.0
2023-08-10,201.61
2023-08-11,201.77
2023-08-14,201.67
2023-08-15,199.37
2023-08-16,202.03
2023-08-17,200.04
2023-08-18,199.9
2023-08-21,200.05
2023-08-22,199.1
2023-08-23,201.28
2023-08-24,201.17
2023-08-25,201.63
2023-08-28,200.77
2023-08-29,201.93
2023-08-30,201.76
2023-08-31,200.87
2023-09-01,203.29
2023-09-05,200.06
2023-09-06,201.94
2023-09-07,204.02
2023-09-08,204.67
2023-09-11,206.35
2023-09-12,208.29
2023-09-13,209.87
2023-09-14,211.98
2023-09-15,212.2
2023-09-18,214.11
2023-09-19,214.27
2023-09-20,213.76
2023-09-21,212.49
2023-09-22,213.08
2023-09-25,212.23
2023-09-26,211.97
2023-09-27,211.63
2023-09-28,212.27
2023-09-29,208.18
2023-10-02,206.4
2023-10-03,204.91
2023-10-04,207.67
2023-10-05,210.76
2023-10-06,209.55
2023-10-09,210.49
2023-10-10,209.67
2023-10-11,210.18
2023-10-12,209.34
2023-10-13,210.94
2023-10-16,214.02
2023-10-17,216.13
2023-10-18,215.16
2023-10-19,210.55
2023-10-20,207.99
2023-10-23,206.52
2023-10-24,211.44
2023-10-25,215.65
2023-10-26,213.09
2023-10-27,208.55
2023-10-30,213.7
2023-10-31,214.62
2023-11-01,220.31
2023-11-02,218.6
2023-11-03,218.79
2023-11-06,219.55
2023-11-07,218.94
2023-11-08,219.01
2023-11-09,218.83
2023-11-10,222.44
2023-11-13,222.0
2023-11-14,219.55
2023-11-15,218.22
2023-11-16,222.0
2023-11-17,222.63
2023-11-20,223.16
2023-11-21,225.29
2023-11-22,226.67
2023-11-24,227.04
2023-11-27,228.35
2023-11-28,224.99
2023-11-29,225.08
2023-11-30,229.43
2023-12-01,228.66
2023-12-04,228.12
2023-12-05,226.88
2023-12-06,224.29
2023-12-07,223.13
2023-12-08,222.91
2023-12-11,224.47
2023-12-12,227.07
2023-12-13,226.11
2023-12-14,220.51
2023-12-15,220.07
2023-12-18,220.31
2023-12-19,221.81
2023-12-20,218.81
2023-12-21,220.02
2023-12-22,220.77
2023-12-26,222.07
2023-12-27,222.69
2023-12-28,224.43
2023-12-29,226.0
2024-01-02,227.35
2024-01-03,226.41
2024-01-04,227.3
2024-01-05,227.7
2024-01-08,226.2
2024-01-09,225.31
2024-01-10,225.25
2024-01-11,227.71
2024-01-12,227.55
2024-01-16,227.73
2024-01-17,228.25
2024-01-18,230.03
2024-01-19,237.32
2024-01-22,239.0
2024-01-23,240.35
2024-01-24,241.58
2024-01-25,241.21
2024-01-26,241.24
2024-01-29,242.77
2024-01-30,243.17
2024-01-31,245.0
2024-02-01,244.95
2024-02-02,246.69
2024-02-05,249.25
2024-02-06,247.67
2024-02-07,246.89
2024-02-08,244.34
2024-02-09,247.21
2024-02-12,248.01
2024-02-13,246.82
2024-02-14,248.12
2024-02-15,251.06
2024-02-16,250.9
2024-02-20,250.51
2024-02-21,251.96
2024-02-22,255.44
2024-02-23,256.01
2024-02-26,254.84
2024-02-27,254.87
2024-02-28,253.58
