Date,Close
2019-06-17,83.02
2019-06-18,82.92
2019-06-19,83.81
2019-06-20,84.69
2019-06-21,83.82
2019-06-24,83.65
2019-06-25,84.25
2019-06-26,83.38
2019-06-27,83.56
2019-06-28,83.83
2019-07-01,84.55
2019-07-02,85.51
2019-07-03,87.79
2019-07-05,87.79
2019-07-08,87.44
2019-07-09,87.23
2019-07-10,88.38
2019-07-11,89.07
2019-07-12,89.77
2019-07-15,90.16
2019-07-16,90.08
2019-07-17,90.25
2019-07-18,91.5
2019-07-19,90.3
2019-07-22,90.92
2019-07-23,90.11
2019-07-24,90.65
2019-07-25,90.98
2019-07-26,99.11
2019-07-29,98.02
2019-07-30,96.65
2019-07-31,94.69
2019-08-01,95.38
2019-08-02,95.51
2019-08-05,93.7
2019-08-06,95.34
2019-08-07,95.22
2019-08-08,96.27
2019-08-09,96.3
2019-08-12,94.91
2019-08-13,96.63
2019-08-14,94.92
2019-08-15,95.53
2019-08-16,96.52
2019-08-19,96.66
2019-08-20,95.63
2019-08-21,96.32
2019-08-22,96.49
2019-08-23,94.7
2019-08-26,96.5
2019-08-27,96.09
2019-08-28,97.07
2019-08-29,97.7
2019-08-30,96.56
2019-09-03,96.77
2019-09-04,96.11
2019-09-05,95.56
2019-09-06,95.74
2019-09-09,94.16
2019-09-10,90.35
2019-09-11,90.98
2019-09-12,92.06
2019-09-13,90.48
2019-09-16,89.42
2019-09-17,90.75
2019-09-18,90.96
2019-09-19,91.56
2019-09-20,90.07
2019-09-23,90.81
2019-09-24,89.92
2019-09-25,90.35
2019-09-26,89.8
2019-09-27,88.37
2019-09-30,88.42
2019-10-01,86.51
2019-10-02,84.32
2019-10-03,84.67
2019-10-04,85.92
2019-10-07,85.85
2019-10-08,84.91
2019-10-09,85.85
2019-10-10,85.96
2019-10-11,86.36
2019-10-14,86.62
2019-10-15,86.45
2019-10-16,86.71
2019-10-17,86.29
2019-10-18,86.03
2019-10-21,85.35
2019-10-22,83.46
2019-10-23,82.74
2019-10-24,83.18
2019-10-25,83.38
2019-10-28,83.6
2019-10-29,84.13
2019-10-30,84.19
2019-10-31,84.56
2019-11-01,83.21
2019-11-04,82.37
2019-11-05,81.89
2019-11-06,82.99
2019-11-07,81.95
2019-11-08,81.77
2019-11-11,82.43
2019-11-12,83.32
2019-11-13,83.94
2019-11-14,84.38
2019-11-15,84.21
2019-11-18,84.02
2019-11-19,83.66
2019-11-20,83.6
2019-11-21,82.3
2019-11-22,83.02
2019-11-25,83.75
2019-11-26,84.56
2019-11-27,85.77
2019-11-29,85.43
2019-12-02,84.57
2019-12-03,84.82
2019-12-04,85.4
2019-12-05,84.45
2019-12-06,86.32
2019-12-09,86.28
2019-12-10,86.04
2019-12-11,86.59
2019-12-12,88.21
2019-12-13,88.67
2019-12-16,88.78
2019-12-17,88.13
2019-12-18,87.99
2019-12-19,88.52
2019-12-20,88.46
2019-12-23,88.23
2019-12-24,88.52
2019-12-26,88.08
2019-12-27,88.13
2019-12-30,87.44
2019-12-31,87.92
2020-01-02,89.35
2020-01-03,88.83
2020-01-06,88.13
2020-01-07,87.86
2020-01-08,88.88
2020-01-09,90.53
2020-01-10,90.16
2020-01-13,91.08
2020-01-14,90.99
2020-01-15,91.54
2020-01-16,92.58
2020-01-17,93.62
2020-01-21,92.53
2020-01-22,92.53
2020-01-23,93.75
2020-01-24,92.03
2020-01-27,88.73
2020-01-28,88.6
2020-01-29,86.72
2020-01-30,85.84
2020-01-31,84.83
2020-02-03,86.01
2020-02-04,88.38
2020-02-05,87.56
2020-02-06,86.15
2020-02-07,86.42
