Date,Close
2023-02-27,12.06
2023-02-28,12.07
2023-03-01,12.32
2023-03-02,12.55
2023-03-03,13.08
2023-03-06,12.98
2023-03-07,12.83
2023-03-08,12.98
2023-03-09,12.45
2023-03-10,12.1
2023-03-13,12.03
2023-03-14,11.93
2023-03-15,11.71
2023-03-16,11.82
2023-03-17,11.3
2023-03-20,11.18
2023-03-21,11.72
2023-03-22,11.48
2023-03-23,11.42
2023-03-24,11.51
2023-03-27,11.52
2023-03-28,11.6
2023-03-29,12.05
2023-03-30,12.29
2023-03-31,12.6
2023-04-03,12.68
2023-04-04,12.72
2023-04-05,12.43
2023-04-06,12.33
2023-04-10,12.72
2023-04-11,12.87
2023-04-12,12.67
2023-04-13,12.46
2023-04-14,12.52
2023-04-17,12.68
2023-04-18,12.73
2023-04-19,12.22
2023-04-20,11.87
2023-04-21,11.81
2023-04-24,12.16
2023-04-25,11.77
2023-04-26,11.54
2023-04-27,11.61
2023-04-28,11.88
2023-05-01,12.06
2023-05-02,11.8
2023-05-03,11.79
2023-05-04,11.56
2023-05-05,11.99
2023-05-08,12.02
2023-05-09,11.86
2023-05-10,11.89
2023-05-11,11.87
2023-05-12,11.67
2023-05-15,11.64
2023-05-16,11.25
2023-05-17,11.5
2023-05-18,11.64
2023-05-19,11.65
2023-05-22,11.63
2023-05-23,11.73
2023-05-24,11.33
2023-05-25,11.38
2023-05-26,12.09
2023-05-30,12.59
2023-05-31,12.0
2023-06-01,12.11
2023-06-02,12.39
2023-06-05,12.59
2023-06-06,12.93
2023-06-07,13.59
2023-06-08,13.58
2023-06-09,13.74
2023-06-12,13.78
2023-06-13,14.13
2023-06-14,14.2
2023-06-15,14.45
2023-06-16,14.42
2023-06-20,14.22
2023-06-21,14.02
2023-06-22,14.19
2023-06-23,14.02
2023-06-26,14.11
2023-06-27,14.41
2023-06-28,14.79
2023-06-29,14.95
2023-06-30,15.13
2023-07-03,15.24
2023-07-05,15.35
2023-07-06,14.98
2023-07-07,14.98
2023-07-10,15.07
2023-07-11,15.23
2023-07-12,15.22
2023-07-13,15.19
2023-07-14,14.98
2023-07-17,14.09
2023-07-18,14.17
2023-07-19,14.1
2023-07-20,14.03
2023-07-21,13.93
2023-07-24,13.96
2023-07-25,13.58
2023-07-26,13.67
2023-07-27,13.73
2023-07-28,13.26
2023-07-31,13.21
2023-08-01,13.42
2023-08-02,13.04
2023-08-03,13.1
2023-08-04,12.89
2023-08-07,12.94
2023-08-08,12.88
2023-08-09,12.73
2023-08-10,12.16
2023-08-11,12.14
2023-08-14,12.2
2023-08-15,11.98
2023-08-16,11.81
2023-08-17,11.83
2023-08-18,11.96
2023-08-21,11.97
2023-08-22,11.87
2023-08-23,11.96
2023-08-24,11.75
2023-08-25,11.91
2023-08-28,11.9
2023-08-29,12.05
2023-08-30,12.03
2023-08-31,12.13
2023-09-01,12.14
2023-09-05,12.09
2023-09-06,12.07
2023-09-07,11.96
2023-09-08,12.3
2023-09-11,12.22
2023-09-12,12.45
2023-09-13,12.64
2023-09-14,12.62
2023-09-15,12.61
2023-09-18,12.34
2023-09-19,12.56
2023-09-20,12.36
2023-09-21,12.2
2023-09-22,12.43
2023-09-25,12.58
2023-09-26,12.43
2023-09-27,12.39
2023-09-28,12.56
2023-09-29,12.42
2023-10-02,12.31
2023-10-03,12.07
2023-10-04,11.99
2023-10-05,11.9
2023-10-06,12.0
2023-10-09,12.07
2023-10-10,12.2
2023-10-11,12.25
2023-10-12,12.0
2023-10-13,11.81
2023-10-16,11.93
2023-10-17,12.04
2023-10-18,11.75
2023-10-19,11.53
2023-10-20,11.64
2023-10-23,11.48
2023-10-24,11.39
2023-10-25,11.54
2023-10-26,11.35
2023-10-27,9.96
2023-10-30,9.77
2023-10-31,9.75
2023-11-01,9.91
2023-11-02,10.14
2023-11-03,10.56
2023-11-06,10.31
2023-11-07,10.17
2023-11-08,10.05
2023-11-09,9.7
2023-11-10,9.86
2023-11-13,9.82
2023-11-14,10.4
2023-11-15,10.47
2023-11-16,10.16
2023-11-17,10.27
2023-11-20,10.34
2023-11-21,10.19
2023-11-22,10.26
2023-11-24,10.4
2023-11-27,10.34
2023-11-28,10.37
2023-11-29,10.59
2023-11-30,10.26
2023-12-01,10.58
2023-12-04,10.7
2023-12-05,10.6
2023-12-06,10.69
2023-12-07,10.82
2023-12-08,11.01
2023-12-11,11.07
2023-12-12,11.16
2023-12-13,11.24
2023-12-14,12.08
2023-12-15,12.02
2023-12-18,11.93
2023-12-19,12.02
2023-12-20,11.8
2023-12-21,12.34
2023-12-22,12.35
2023-12-26,12.45
2023-12-27,12.39
2023-12-28,12.34
2023-12-29,12.19
2024-01-02,12.16
2024-01-03,11.71
2024-01-04,11.68
2024-01-05,11.85
2024-01-08,11.97
2024-01-09,11.84
2024-01-10,11.83
2024-01-11,11.71
2024-01-12,11.46
2024-01-16,11.46
2024-01-17,11.27
2024-01-18,10.99
2024-01-19,11.2
2024-01-22,11.2
2024-01-23,11.37
2024-01-24,11.03
2024-01-25,11.34
2024-01-26,11.39
2024-01-29,11.55
2024-01-30,11.78
2024-01-31,11.72
2024-02-01,12.1
2024-02-02,12.14
2024-02-05,11.59
2024-02-06,12.07
2024-02-07,12.8
2024-02-08,12.83
2024-02-09,12.68
2024-02-12,12.98
2024-02-13,12.68
2024-02-14,12.56
2024-02-15,12.52
2024-02-16,12.3
2024-02-20,12.25
2024-02-21,12.14
2024-02-22,12.12
2024-02-23,12.14
